Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2016,3,2,0,1,0,1,43,3,고등학교,92,1,YES,2468243,443539,111122,6709
2016,2,1,0,0,1,2,64,3,고등학교,92,1,YES,919568,154445,5135,504
2016,1,0,1,0,0,1,74,2,중학교,92,1,YES,1189295,6494,1416,0
2016,3,2,0,1,0,1,33,6,대학원(석사),59,2,NO,4277717,454649,13767,0
2016,3,1,0,0,0,2,39,5,대학교(4년제 대학포함),47,2,NO,1189493,74206,19540,0
2016,3,2,0,1,0,1,47,5,대학교(4년제 대학포함),59,1,YES,2372224,314624,86638,1092
2016,3,1,0,0,1,1,58,3,고등학교,49,1,YES,817095,90000,27000,0
2016,2,0,1,0,0,1,76,1,초등학교,59,1,YES,669048,180779,0,0
2016,2,2,0,1,0,1,29,6,대학원(석사),36,2,NO,2167286,488700,12081,16095
2016,2,2,0,0,1,2,54,3,고등학교,56,2,NO,1850494,485734,27221,4611
2016,5,2,0,1,0,1,49,3,고등학교,56,1,YES,2669222,411182,49415,42589
2016,4,2,0,1,0,1,47,5,대학교(4년제 대학포함),56,2,NO,3240446,966961,25394,22644
2016,4,1,0,0,1,1,50,5,대학교(4년제 대학포함),56,1,YES,1576443,299761,37970,11357
2016,2,2,0,0,1,2,44,4,"전문대(초급대,2ㆍ3년제 대학포함)",56,2,NO,4539167,356450,30479,3069
2016,4,1,0,0,1,1,45,5,대학교(4년제 대학포함),85,2,NO,1914495,180658,53801,53009
2016,3,2,0,0,1,1,26,4,"전문대(초급대,2ㆍ3년제 대학포함)",66,1,YES,2002384,287481,18813,9795
2016,2,1,0,0,1,1,67,2,중학교,105,2,NO,1538315,205384,94440,11321
2016,2,2,0,1,0,1,61,3,고등학교,60,1,YES,2442493,478733,89634,4994
2016,3,1,0,0,1,1,41,3,고등학교,84,2,NO,4918980,340977,31743,8687
2016,5,2,0,1,0,1,48,5,대학교(4년제 대학포함),82,1,YES,2401411,373316,57803,12584
2016,2,2,0,1,0,1,46,3,고등학교,82,1,YES,5267716,186242,11583,0
2016,4,2,0,1,0,1,43,3,고등학교,82,1,YES,2929708,363239,16811,18183
2016,1,0,1,0,0,2,87,0,무학,39,1,YES,482119,53969,5027,1128
2016,2,2,1,1,0,1,67,2,중학교,43,1,YES,1346814,73425,53619,1477
2016,2,1,0,0,0,2,47,3,고등학교,60,1,YES,910882,144566,17624,3223
2016,1,1,0,0,1,1,28,4,"전문대(초급대,2ㆍ3년제 대학포함)",60,1,YES,966568,112161,14819,12667
2016,4,2,0,1,0,1,44,5,대학교(4년제 대학포함),60,1,YES,3138595,343503,88232,4966
2016,1,1,0,0,1,1,49,1,초등학교,60,1,YES,1197931,195613,1732,1088
2016,2,1,0,0,1,1,48,5,대학교(4년제 대학포함),60,1,YES,1398623,216338,124953,23410
2016,3,1,0,0,1,1,42,3,고등학교,83,1,YES,2460634,392488,32527,17464
2016,2,1,0,0,1,1,43,3,고등학교,66,1,YES,3389857,230009,9527,26724
2016,3,2,0,0,1,2,65,1,초등학교,59,1,YES,1860043,316263,60084,0
2016,4,2,0,1,0,1,54,6,대학원(석사),59,1,YES,2939422,405944,157878,5770
2016,1,0,1,0,0,2,85,1,초등학교,50,2,NO,458978,9633,33509,1280
2016,2,0,0,0,1,1,59,3,고등학교,50,1,YES,576608,62618,29125,6807
2016,2,0,1,0,0,1,86,5,대학교(4년제 대학포함),141,1,YES,917076,15992,71767,366
2016,1,0,1,0,0,2,80,0,무학,56,1,YES,370879,4983,13573,0
2016,3,1,0,0,1,1,43,3,고등학교,66,1,YES,997256,132593,21739,29648
2016,2,1,1,0,0,1,73,3,고등학교,66,1,YES,956337,92839,86853,4015
2016,1,0,1,0,0,2,81,1,초등학교,50,1,YES,473781,3809,40527,0
2016,1,1,0,0,1,2,48,3,고등학교,66,1,YES,2236262,359504,55440,4049
2016,1,0,1,0,0,1,70,2,중학교,50,1,YES,173009,48978,0,0
2016,2,0,1,0,0,1,90,1,초등학교,76,1,YES,339091,0,35195,1806
2016,2,2,0,1,0,1,61,1,초등학교,92,1,YES,2512120,331534,91083,3762
2016,1,1,0,0,1,2,59,1,초등학교,35,1,YES,2284802,748953,101072,3363
2016,2,2,0,0,1,2,73,1,초등학교,108,1,YES,2539575,194599,82044,7529
2016,4,2,0,1,0,1,44,6,대학원(석사),85,1,YES,2067023,315892,42416,25076
2016,1,0,1,0,0,1,84,2,중학교,49,2,NO,607464,6994,1960,0
2016,1,1,0,0,1,1,31,4,"전문대(초급대,2ㆍ3년제 대학포함)",66,2,NO,1858962,515018,0,5414
2016,3,0,0,0,0,2,39,3,고등학교,66,1,YES,1296372,206753,22154,24570
2016,2,1,0,0,1,1,26,5,대학교(4년제 대학포함),66,2,NO,2397598,60112,18226,10334
